AM,VarName2,VarName3
5/10/2019 12:00:00 AM,7779.75,-0.208087433036741
5/10/2019 2:00:00 AM,7815.75,-0.25005998579215
5/10/2019 4:00:00 AM,7810.25,-0.260732284255272
5/10/2019 6:00:00 AM,7816.25,-0.242820014760075
5/10/2019 8:00:00 AM,7785.75,-0.503374972807128
5/10/2019 10:00:00 AM,7782,-0.882956988639233
5/10/2019 12:00:00 PM,7690.75,-1.31761841258274
5/10/2019 2:00:00 PM,7801.75,-1.09344324486274
5/10/2019 4:00:00 PM,7833.25,-0.646921195528025
5/10/2019 5:00:00 PM,7842.25,-0.054035227387069
5/12/2019 8:00:00 PM,7751.5,0.0843645194377382
5/12/2019 10:00:00 PM,7760.25,0.0893083428722503
5/13/2019 12:00:00 AM,7752.75,0.0162967048150052
5/13/2019 2:00:00 AM,7748,-0.0917713266075871
5/13/2019 4:00:00 AM,7710.5,-0.367188714462442
5/13/2019 6:00:00 AM,7724,-0.599300866853915
5/13/2019 8:00:00 AM,7691.5,-0.982727011420574
5/13/2019 10:00:00 AM,7623.5,-1.41509014390528
5/13/2019 12:00:00 PM,7588.75,-1.85686683109964
5/13/2019 2:00:00 PM,7590.75,-2.26170977078656
5/13/2019 4:00:00 PM,7565.25,-2.6757066050308
5/13/2019 5:00:00 PM,7546.25,-3.09039801242026
5/13/2019 8:00:00 PM,7538.75,-3.50291536038066
5/13/2019 10:00:00 PM,7591.75,-2.80969233629124
5/14/2019 12:00:00 AM,7596.25,-2.18202278405693
5/14/2019 2:00:00 AM,7595,-1.67172173994584
5/14/2019 4:00:00 AM,7601.25,-1.03214952907425
5/14/2019 6:00:00 AM,7612.75,-0.313185951191505
5/14/2019 8:00:00 AM,7620.5,0.345931876124806
5/14/2019 10:00:00 AM,7593.75,0.626724978772208
5/14/2019 12:00:00 PM,7671.75,1.02986676925843
5/14/2019 2:00:00 PM,7685.5,1.46957084235411
5/14/2019 4:00:00 PM,7643.5,1.32684668810442
5/14/2019 5:00:00 PM,7658,1.19712041196773
5/14/2019 8:00:00 PM,7665.25,1.16322161834017
5/14/2019 10:00:00 PM,7674.75,1.26748804710767
5/15/2019 12:00:00 AM,7674.75,1.41171289727615
5/15/2019 2:00:00 AM,7685.5,1.71771918128654
5/15/2019 4:00:00 AM,7649,1.52285274737218
5/15/2019 6:00:00 AM,7638,0.820775811063622
5/15/2019 8:00:00 AM,7628,0.1115131755045
5/15/2019 10:00:00 AM,7641,-0.338788503005863
5/15/2019 12:00:00 PM,7737,-0.0906641478052192
5/15/2019 2:00:00 PM,7758,0.357817291236125
5/15/2019 4:00:00 PM,7749.5,0.787614189925829
5/15/2019 5:00:00 PM,7759.25,1.24935017423725
5/15/2019 8:00:00 PM,7750,1.59406267251573
5/15/2019 10:00:00 PM,7718,1.52859804042157
5/16/2019 12:00:00 AM,7727.25,1.43765187785958
5/16/2019 2:00:00 AM,7725.75,1.34433798015659
5/16/2019 4:00:00 AM,7726.75,1.24908998469989
5/16/2019 6:00:00 AM,7766,1.45121525619814
5/16/2019 8:00:00 AM,7781.25,1.7831418822116
5/16/2019 10:00:00 AM,7811.5,2.16886118141792
5/16/2019 12:00:00 PM,7864,2.57462250069247
5/16/2019 2:00:00 PM,7830.75,2.34543061125666
5/16/2019 4:00:00 PM,7826,2.00955400622411
5/16/2019 5:00:00 PM,7835,1.7799422520931
5/16/2019 8:00:00 PM,7839.75,1.66471561169934
5/16/2019 10:00:00 PM,7840,1.60744120866334
5/17/2019 12:00:00 AM,7801,1.15909248693052
5/17/2019 2:00:00 AM,7799.5,0.623691558862339
5/17/2019 4:00:00 AM,7806,0.0735025942662192
5/17/2019 6:00:00 AM,7797.75,-0.495019116013341
5/17/2019 8:00:00 AM,7767.5,-1.03346424920974
5/17/2019 10:00:00 AM,7778,-1.33478435059159
5/17/2019 12:00:00 PM,7804.5,-1.14553871003619
5/17/2019 2:00:00 PM,7807,-0.847909952932216
5/17/2019 4:00:00 PM,7746.25,-0.986453808961598
5/17/2019 5:00:00 PM,7744,-1.3068525739179
5/19/2019 8:00:00 PM,7773.75,-1.16131124118372
5/19/2019 10:00:00 PM,7769,-0.982883145342834
5/20/2019 12:00:00 AM,7770.75,-0.807130474253702
